,citybike_index,name,review_count,rating,distance,categories_names
93,6,Toronto Sculpture Garden,6.0,3.5,1003.5792423146788,galleries
94,6,Gardens of the Osgoode Hall,1.0,4.0,619.2042174590803,parks
95,6,Urban Capers,7.0,3.5,391.1815411760456,landmarks
96,6,Larry Sefton Park,2.0,3.5,264.7747078223401,parks
97,6,Toronto City Hall,28.0,3.5,381.3498941062922,landmarks
98,6,Toronto Peace Garden,1.0,4.0,377.1188908215166,parks
99,6,Alexander Street Parkette,2.0,3.0,727.2976120235064,parks
100,7,Christie Pits Park,20.0,4.5,485.49998012297584,parks
101,7,Bickford Park,9.0,3.5,507.5327526435683,dog_parks
102,7,Euclid Avenue Parkette,1.0,3.0,50.8697290564704,parks
103,7,Vermont Square Park,1.0,4.0,653.2927931136102,parks
104,7,Gwendolyn Macewen,1.0,5.0,826.7029884012213,parks
105,8,Budd Sugarman Park,1.0,3.0,60.405337889105546,parks
106,8,Yorkville Park,3.0,4.0,661.728936279655,parks
107,8,Ramsden Park,8.0,4.0,122.7599483436834,tennis
108,8,Taddle Creek Park,1.0,5.0,989.443443628738,parks
109,8,Green Space On Church,1.0,5.0,1196.9946329184645,parks
110,8,Norman Jewison Park,2.0,3.5,978.0972204346892,parks
111,8,K9 Fun zone,4.0,4.0,84998.33587249169,dog_parks
112,8,Town Hall Square,1.0,4.0,395.04761636463206,parks
113,8,Barbara Hall Park,6.0,3.5,1196.9946329184645,parks
114,8,Asquith Green Parkette,3.0,2.5,570.2537673069747,parks
115,8,Forest Hill Road Parkette,1.0,4.0,932.1280130054388,parks
116,8,George Hislop Park,2.0,3.0,904.3543376522772,parks
117,8,Rosehill Reservoir,2.0,2.0,606.2217407164975,parks
118,8,William Arthur Parks Historical Marker,1.0,3.0,991.2706394598632,landmarks
119,8,Frank Stollery Parkette,1.0,3.0,313.79272116765986,parks
120,8,King Edward VII Equestrian Statue,1.0,3.0,851.4310646585627,landmarks
121,8,City Sniffers,4.0,5.0,12484.02080838133,dogwalkers
122,9,Yorkville Park,3.0,4.0,669.0655271612321,parks
123,9,Ramsden Park,8.0,4.0,562.3378992336354,tennis
124,9,Budd Sugarman Park,1.0,3.0,626.2026924376155,parks
125,9,Taddle Creek Park,1.0,5.0,593.0672424464134,parks
