,index,empty_slots,free_bikes,name,latitude,longitude,ll
269,269,15,1,Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,"43.663148,-79.347938"
270,270,9,13,Gerrard St E / Leslie St,43.669813,-79.3335,"43.669813,-79.3335"
271,271,14,12,Marilyn Bell Park Tennis Court,43.633537,-79.437461,"43.633537,-79.437461"
272,272,2,20,The Queensway at South Kingsway,43.63632,-79.47307,"43.63632,-79.47307"
273,273,22,1,Merton St / Mount Pleasant Rd,43.697819,-79.38786,"43.697819,-79.38786"
274,274,4,12,Tyndall Ave / King St W - SMART,43.638426,-79.429142,"43.638426,-79.429142"
275,275,9,13,College Park - Yonge St Entrance,43.65988,-79.38279,"43.65988,-79.38279"
276,276,13,5,Barton Ave / Howland Ave - SMART,43.66842,-79.410585,"43.66842,-79.410585"
277,277,13,2,Keele St / Annette St,43.66402,-79.46418,"43.66402,-79.46418"
278,278,13,10,Keele St / Vine Ave,43.66686,-79.46526,"43.66686,-79.46526"
279,279,11,8,Howard St / Rose Ave,43.671278,-79.372127,"43.671278,-79.372127"
280,280,6,17,Little Norway Park,43.635023,-79.399505,"43.635023,-79.399505"
281,281,8,11,Isabella St / Church St,43.66834,-79.38235,"43.66834,-79.38235"
282,282,13,9,University Ave / Armoury St,43.65263,-79.38766,"43.65263,-79.38766"
283,283,18,0,Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,"43.70547,-79.40355"
284,284,22,1,Polson Pier,43.641675,-79.354006,"43.641675,-79.354006"
285,285,20,0,Dentonia Park,43.694341,-79.291416,"43.694341,-79.291416"
286,286,1,15,Lower Jarvis / Queens Quay E,43.64422,-79.36927,"43.64422,-79.36927"
287,287,8,3,Summerhill Ave / Maclennan Ave,43.685924,-79.376304,"43.685924,-79.376304"
288,288,17,8,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,"43.645215,-79.364898"
289,289,16,2,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,"43.646677,-79.442741"
290,290,2,17,Ellis Ave / The Queensway,43.63855,-79.46693,"43.63855,-79.46693"
291,291,9,2,High Park - Grenadier Cafe,43.645599,-79.4657123,"43.645599,-79.4657123"
292,292,5,5,Winona Dr / Davenport Rd,43.674923,-79.430465,"43.674923,-79.430465"
293,293,4,7,Danforth Ave / Aldridge Ave,43.684758,-79.316767,"43.684758,-79.316767"
294,294,8,27,Dundonald St / Church St,43.66663,-79.38148,"43.66663,-79.38148"
295,295,14,5,Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,"43.685221,-79.294766"
296,296,29,2,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,"43.635492,-79.398253"
297,297,3,15,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,"43.63951,-79.383717"
298,298,7,14,Bremner Blvd / Rees St,43.641529,-79.386741,"43.641529,-79.386741"
299,299,16,7,King St W / Crawford St,43.6417852,-79.4131148,"43.6417852,-79.4131148"
300,300,4,20,Yonge St / Dundas Sq,43.655766,-79.3802,"43.655766,-79.3802"
301,301,10,1,St Clair Ave W / Winona Dr,43.680466,-79.432522,"43.680466,-79.432522"
302,302,28,22,Bay St / Wellesley St W,43.664088,-79.387095,"43.664088,-79.387095"
303,303,2,17,Humberside Grounds - SMART,43.65917,-79.46997,"43.65917,-79.46997"
304,304,14,0,Bloor St E / Huntley St - SMART,43.671535,-79.379173,"43.671535,-79.379173"
305,305,16,6,Wellington St W / York St,43.646734,-79.38301,"43.646734,-79.38301"
306,306,13,1,Dalton Rd / Bloor St W,43.6662942,-79.4066433,"43.6662942,-79.4066433"
307,307,23,4,Davenport Rd / Christie St,43.675278,-79.423889,"43.675278,-79.423889"
308,308,2,8,King St W / Jordan St,43.648928,-79.378623,"43.648928,-79.378623"
309,309,1,13,George St / King St E,43.6509552,-79.3707,"43.6509552,-79.3707"
310,310,26,1,E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,"43.715951,-79.351246"
311,311,19,8,Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,"43.665645,-79.304711"
312,312,10,11,King St W / Charlotte St,43.645572,-79.39399,"43.645572,-79.39399"
313,313,9,8,Jarvis St / Richmond St E,43.652777,-79.372637,"43.652777,-79.372637"
314,314,10,4,Symington Ave / Dupont St,43.665538,-79.451263,"43.665538,-79.451263"
315,315,1,22,King St E / Jarvis St,43.650325,-79.372287,"43.650325,-79.372287"
316,316,7,5,Bay St / Bloor St W (East Side),43.66943,-79.38915,"43.66943,-79.38915"
317,317,2,17,Bay St / Bloor St W (West Side),43.669244,-79.3894,"43.669244,-79.3894"
318,318,14,0,Wells Hill Ave / St Clair Ave W,43.683351,-79.41562,"43.683351,-79.41562"
319,319,13,12,Dundas St E / George St,43.6574766,-79.373446,"43.6574766,-79.373446"
320,320,16,5,Fleet St / Bathurst St,43.636611,-79.400042,"43.636611,-79.400042"
321,321,5,3,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,"43.646552,-79.406468"
322,322,18,6,Wellington St W / Bay St,43.647259,-79.379878,"43.647259,-79.379878"
323,323,10,6,Briar Hill Ave / Yonge St - SMART,43.713524,-79.400162,"43.713524,-79.400162"
324,324,1,13,King St E / Church St,43.65003919999999,-79.3733541,"43.65003919999999,-79.3733541"
325,325,15,19,Bay St / Albert St,43.653264,-79.382458,"43.653264,-79.382458"
326,326,9,8,Wellesley St W / Queen's Park Cres,43.663376,-79.392125,"43.663376,-79.392125"
327,327,2,16,Bay St / College St (East Side),43.660439,-79.385525,"43.660439,-79.385525"
328,328,5,5,University Ave / College St (West),43.659226,-79.390213,"43.659226,-79.390213"
329,329,12,2,University Ave / College St (East),43.65995,-79.38964,"43.65995,-79.38964"
330,330,5,7,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,"43.661803,-79.389682"
331,331,7,5,Bay St / College St (West Side) - SMART,43.660087,-79.385655,"43.660087,-79.385655"
332,332,5,12,Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,"43.6146692,-79.4873148"
333,333,10,17,Humber Bay Shores Park / Marine Parade Dr,43.626265,-79.476723,"43.626265,-79.476723"
334,334,13,12,Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,"43.63771,-79.458173"
335,335,0,22,Ripley Ave / Ormskirk Ave,43.6390437,-79.4760109,"43.6390437,-79.4760109"
336,336,9,4,St Clarens Ave / Shirley St,43.6486599,-79.4376413,"43.6486599,-79.4376413"
337,337,13,9,Lisgar Park,43.6423847,-79.4240277,"43.6423847,-79.4240277"
338,338,11,11,Bartlett Parkette,43.6702236,-79.4360232,"43.6702236,-79.4360232"
339,339,22,0,Sherbourne St N / Elm Ave,43.6752732,-79.3778458,"43.6752732,-79.3778458"
340,340,11,3,Walnut Ave / Queen St W,43.645469,-79.411084,"43.645469,-79.411084"
341,341,18,1,Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,"43.6882821,-79.4253856"
342,342,21,1,Palmerston Ave / Dundas St W,43.651603,-79.408346,"43.651603,-79.408346"
343,343,20,0,541 Huron St - SMART,43.670206,-79.402643,"43.670206,-79.402643"
344,344,16,0,Euclid Ave / Herrick St - SMART,43.661559,-79.413845,"43.661559,-79.413845"
345,345,6,8,Baldwin St / Henry St,43.6560758,-79.393259,"43.6560758,-79.393259"
346,346,8,7,Orde St / McCaul St,43.6580442,-79.3927404,"43.6580442,-79.3927404"
347,347,11,7,Ross St / Cecil St - SMART,43.6568254,-79.3966159,"43.6568254,-79.3966159"
348,348,3,15,Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,"43.5927419,-79.54033009999999"
349,349,2,15,Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,"43.597082,-79.522768"
350,350,0,31,Windsor St / Newcastle St,43.6171635,-79.4971065,"43.6171635,-79.4971065"
351,351,0,19,Royal York Rd / Mimico Ave,43.612063,-79.496573,"43.612063,-79.496573"
352,352,10,9,Berry Rd / Bell Manor Dr,43.63732,-79.489083,"43.63732,-79.489083"
353,353,6,21,Humber College,43.5961692,-79.5160575,"43.5961692,-79.5160575"
354,354,3,21,Amos Waites Park,43.613606,-79.4883535,"43.613606,-79.4883535"
355,355,20,2,Priscilla  Ave / Dundas St W,43.664665,-79.489385,"43.664665,-79.489385"
356,356,22,1,Durie St / Dundas St W,43.665523,-79.484892,"43.665523,-79.484892"
357,357,7,12,St Clair Ave W / Castleton Ave,43.668496,-79.485426,"43.668496,-79.485426"
358,358,22,5,Weston Lions Park,43.698841,-79.519472,"43.698841,-79.519472"
359,359,5,10,Annette St / Jane St,43.658574,-79.487246,"43.658574,-79.487246"
360,360,4,23,Jameson Ave / Queen St W,43.63985,-79.43703,"43.63985,-79.43703"
361,361,4,0,Carlaw Ave / Dundas St E,43.665076,-79.341509,"43.665076,-79.341509"
