,fsq_id,category_name
3907,4c8138e5dc018cfac196c36c,Park
3908,5400ca4a498e7d09decda934,Park
3909,4ff04695e4b0262c92783dab,Beach
3910,4e56e0f9b993bf36edfa43de,Dog Park
3911,4da889d043a12d0c26543d45,Playground
3912,4cef1ae30acea35d06d1ecae,Landmarks and Outdoors
3913,4bc3873a74a9a5935dadd4f6,Harbor or Marina
3914,4bc3873a74a9a5935dadd4f6,Sports Club
3915,4c33b577ed37a593b3d06d03,Park
3916,4af5b68cf964a520c4fb21e3,Park
3917,4b93f74df964a5208f5d34e3,Bridge
3918,4f82468ce4b020c7bfb2c25c,Landmarks and Outdoors
3919,4c6ffdf4df6b8cfa07bbb64d,Landmarks and Outdoors
3920,4d97965de07ea35dbfcbdd02,Park
3921,4fb92eb1e4b0e055b5bf797b,Landmarks and Outdoors
3922,4c3bb8acdef90f474c67fe2d,Landmarks and Outdoors
3923,4d33e27072a8b1f758ceabd0,Residential Building
3924,4d33e27072a8b1f758ceabd0,Beach
3925,59adeb2067a9fe481e6b36e4,Monument
3926,4bc8c23b92b376b0ad21523a,Park
3927,4c6208cbfa7bc92895620d27,Hiking Trail
3928,4afed11ef964a5209d3022e3,Playground
3929,4afed11ef964a5209d3022e3,Sports and Recreation
3930,4b757192f964a520d30c2ee3,Dog Park
3931,4c02ba2ff56c2d7fd9da1b66,Park
3932,5061f2d7e4b0f6295b5894b9,Garden
3933,4b93eb6ff964a520d15934e3,Park
3934,594729ba67a9fe24f1013aa3,Park
3935,50e2fb9ee4b0a3665da344c4,Beach
3936,51a0eb37498e4610ea8822fb,Beach
3937,4c6208cbfa7bc92895620d27,Hiking Trail
3938,4b93f74df964a5208f5d34e3,Bridge
3939,4f82468ce4b020c7bfb2c25c,Landmarks and Outdoors
3940,4f859a37e4b047432f58e8df,Scenic Lookout
3941,5061f2d7e4b0f6295b5894b9,Garden
3942,4bdb5d1d2a3a0f471dadaeb6,Park
3943,4b93eb6ff964a520d15934e3,Park
3944,4f32c079e4b01958939fd247,Park
3945,4ecb10f2f5b90c1c32ee683f,Park
3946,57b8901c498ef0c324f90cce,Park
